"expertnb","mode","values","logHR values","p","weight","best.fit","LHR mean","LHR sd","mean","sd","baseline"
2,"Conditional2G3",5,-0.9988,0,0,"Normal",-0.1728,0.2567,11.21,2.7304,13
2,"Conditional2G3",7,-0.6518,0.06,0.06,"Normal",-0.1728,0.2567,11.21,2.7304,13
2,"Conditional2G3",9,-0.3898,0.21,0.15,"Normal",-0.1728,0.2567,11.21,2.7304,13
2,"Conditional2G3",11,-0.1782,0.47,0.26,"Normal",-0.1728,0.2567,11.21,2.7304,13
2,"Conditional2G3",13,0,0.75,0.28,"Normal",-0.1728,0.2567,11.21,2.7304,13
2,"Conditional2G3",15,0.1544,0.9,0.15,"Normal",-0.1728,0.2567,11.21,2.7304,13
2,"Conditional2G3",17,0.2912,1,0.1,"Normal",-0.1728,0.2567,11.21,2.7304,13
2,"Conditional2G3",19,0.4142,1,0,"Normal",-0.1728,0.2567,11.21,2.7304,13
2,"Conditional2G3",21,0.5263,1,0,"Normal",-0.1728,0.2567,11.21,2.7304,13
2,"Conditional2G3",23,0.6296,1,0,"Normal",-0.1728,0.2567,11.21,2.7304,13
