"expertnb","mode","values","logHR values","p","weight","logHR","best.fit","LHR mean","LHR sd","mean","sd","baseline"
4,"Conditional1G3",5,-0.9988,0,0,NA,"Normal",-0.1294,0.0966,11.3464,0.4485,13
4,"Conditional1G3",7,-0.6518,0,0,NA,"Normal",-0.1294,0.0966,11.3464,0.4485,13
4,"Conditional1G3",9,-0.3898,0,0,NA,"Normal",-0.1294,0.0966,11.3464,0.4485,13
4,"Conditional1G3",11,-0.1782,0.22,0.22,-0.279,"Normal",-0.1294,0.0966,11.3464,0.4485,13
4,"Conditional1G3",13,0,1,0.78,-0.0856,"Normal",-0.1294,0.0966,11.3464,0.4485,13
4,"Conditional1G3",15,0.1544,1,0,NA,"Normal",-0.1294,0.0966,11.3464,0.4485,13
4,"Conditional1G3",17,0.2912,1,0,NA,"Normal",-0.1294,0.0966,11.3464,0.4485,13
4,"Conditional1G3",19,0.4142,1,0,NA,"Normal",-0.1294,0.0966,11.3464,0.4485,13
4,"Conditional1G3",21,0.5263,1,0,NA,"Normal",-0.1294,0.0966,11.3464,0.4485,13
4,"Conditional1G3",23,0.6296,1,0,NA,"Normal",-0.1294,0.0966,11.3464,0.4485,13
