"expertnb","mode","values","logHR values","p","weight","logHR","best.fit","LHR mean","LHR sd","mean","sd","baseline"
1,"Conditional2G3",5,-0.9988,0,0,NA,"Normal",-0.4498,0.1276,8.7419,0.4429,13
1,"Conditional2G3",7,-0.6518,0,0,NA,"Normal",-0.4498,0.1276,8.7419,0.4429,13
1,"Conditional2G3",9,-0.3898,0.72,0.72,-0.5129,"Normal",-0.4498,0.1276,8.7419,0.4429,13
1,"Conditional2G3",11,-0.1782,1,0.28,-0.279,"Normal",-0.4498,0.1276,8.7419,0.4429,13
1,"Conditional2G3",13,0,1,0,NA,"Normal",-0.4498,0.1276,8.7419,0.4429,13
1,"Conditional2G3",15,0.1544,1,0,NA,"Normal",-0.4498,0.1276,8.7419,0.4429,13
1,"Conditional2G3",17,0.2912,1,0,NA,"Normal",-0.4498,0.1276,8.7419,0.4429,13
1,"Conditional2G3",19,0.4142,1,0,NA,"Normal",-0.4498,0.1276,8.7419,0.4429,13
1,"Conditional2G3",21,0.5263,1,0,NA,"Normal",-0.4498,0.1276,8.7419,0.4429,13
1,"Conditional2G3",23,0.6296,1,0,NA,"Normal",-0.4498,0.1276,8.7419,0.4429,13
