"expertnb","mode","values","logHR values","p","weight","best.fit","LHR mean","LHR sd","mean","sd","baseline"
3,"UnconditionalG3",5,-0.9988,0,0,"Normal",-0.1928,0.1205,10.8702,1.2534,13
3,"UnconditionalG3",7,-0.6518,0,0,"Normal",-0.1928,0.1205,10.8702,1.2534,13
3,"UnconditionalG3",9,-0.3898,0.1,0.1,"Normal",-0.1928,0.1205,10.8702,1.2534,13
3,"UnconditionalG3",11,-0.1782,0.52,0.42,"Normal",-0.1928,0.1205,10.8702,1.2534,13
3,"UnconditionalG3",13,0,1,0.48,"Normal",-0.1928,0.1205,10.8702,1.2534,13
3,"UnconditionalG3",15,0.1544,1,0,"Normal",-0.1928,0.1205,10.8702,1.2534,13
3,"UnconditionalG3",17,0.2912,1,0,"Normal",-0.1928,0.1205,10.8702,1.2534,13
3,"UnconditionalG3",19,0.4142,1,0,"Normal",-0.1928,0.1205,10.8702,1.2534,13
3,"UnconditionalG3",21,0.5263,1,0,"Normal",-0.1928,0.1205,10.8702,1.2534,13
3,"UnconditionalG3",23,0.6296,1,0,"Normal",-0.1928,0.1205,10.8702,1.2534,13
