"expertnb","mode","values","logHR values","p","weight","logHR","best.fit","LHR mean","LHR sd","mean","sd","baseline"
2,"Conditional2G2",12,-0.764,0,0,NA,"Normal",-0.2025,0.1954,20.3284,3.0874,24
2,"Conditional2G2",15,-0.5239,0.06,0.06,-0.6378,"Normal",-0.2025,0.1954,20.3284,3.0874,24
2,"Conditional2G2",18,-0.3242,0.22,0.16,-0.42,"Normal",-0.2025,0.1954,20.3284,3.0874,24
2,"Conditional2G2",21,-0.1521,0.58,0.36,-0.2352,"Normal",-0.2025,0.1954,20.3284,3.0874,24
2,"Conditional2G2",24,0,0.9,0.32,-0.0739,"Normal",-0.2025,0.1954,20.3284,3.0874,24
2,"Conditional2G2",27,0.1369,0.96,0.06,0.0701,"Normal",-0.2025,0.1954,20.3284,3.0874,24
2,"Conditional2G2",30,0.2621,1,0.04,0.2008,"Normal",-0.2025,0.1954,20.3284,3.0874,24
2,"Conditional2G2",33,0.3779,1,0,NA,"Normal",-0.2025,0.1954,20.3284,3.0874,24
2,"Conditional2G2",36,0.4862,1,0,NA,"Normal",-0.2025,0.1954,20.3284,3.0874,24
2,"Conditional2G2",39,0.5884,1,0,NA,"Normal",-0.2025,0.1954,20.3284,3.0874,24
